id,skillName,skillEffect_01,skillEffect_02,stiffTime,stunTime,dotTime,dotPeriod,dotDmgPct,slowTime,slowPct,skillCool,skillTime,dmgPct_01,dmgPct_02,dmgPct_03,dmgPct_04,dmgPct_05,iconName
101,warNorAtkOn,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.47,1,-1,-1,-1,-1,Barbarian_3
102,warNorAtkTw,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,Barbarian_4
103,warNorAtkTh,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.67,1,-1,-1,-1,-1,Barbarian_5
104,warWskill,3,-1,-1,-1,-1,-1,-1,-1,-1,4.2,1.57,3,-1,-1,-1,-1,Barbarian_6
105,warEskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.7,2.17,1.8,-1,-1,-1,-1,Barbarian_7
106,warRskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.4,1,4.07,-1,-1,-1,-1,Barbarian_8
107,warTskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,3.54,10.5,-1,-1,-1,-1,Barbarian_9
201,dtrNorAtkOn,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.34,1,-1,-1,-1,-1,Barbarian_10
202,dtrNorAtkTw,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.59,1,-1,-1,-1,-1,Barbarian_11
203,dtrNorAtkTh,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.67,1,-1,-1,-1,-1,Barbarian_12
204,dtrNorAtkFo,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2.24,1,-1,-1,-1,-1,Barbarian_13
205,dtrWskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.3,1.8,2.5,-1,-1,-1,-1,Barbarian_14
206,dtrEskill,3,-1,-1,-1,-1,-1,-1,-1,-1,7.5,2.34,3.46,-1,-1,-1,-1,Barbarian_15
