id,className,maxHp,atkPwr,criPrb,criDmg,hpRcv,cdnPct,gotDmg,moveSpeed,skill_01,skill_02,skill_03,skill_04,skill_05,skill_06,skill_07,skill_08
1,KIMMINJUN,511,55,0.15,0.58,4.5,0,0,2.3,101,102,103,104,105,106,107,-1
2,LEESEOJUN,531,49,0.25,0.445,5.2,0,0,1.8,201,202,203,204,205,206,207,208
3,PARKDOYUN,511,51,0.18,0.501,4.5,0,0,2,301,302,303,304,305,306,307,-1
4,CHOIYEJUN,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
5,JEONGSIU,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
6,KANGHAJUN,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
7,CHOJIHO,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
8,YOONJUWON,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
9,JANGJIHU,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
10,LIMJUNU,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
11,HANDOHYEON,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
12,OHJUNSEO,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
13,SEOGEONU,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
14,SHINHYEONU,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
15,KWONUJIN,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
16,HWANGJIHUN,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
17,AHNSEONU,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
18,SONGYUJUN,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
19,CHUNEUNU,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
20,HONGYEONU,551,45,0.3,0.395,6.5,0,0,2,401,402,403,404,405,406,407,408
